ref,centre_x_mm,centre_y_mm,rotation_deg,side,stored_origin_x,stored_origin_y
C1,31.00,0.50,0,bottom,31.00,0.50
C2,31.00,2.50,0,bottom,31.00,2.50
C3,34.75,-7.50,0,bottom,34.75,-7.50
C4,16.00,1.00,0,bottom,16.00,1.00
C5,34.75,-8.75,0,bottom,34.75,-8.75
C6,35.25,-3.50,0,bottom,35.25,-3.50
D1,41.02,6.75,0,top,41.02,6.75
J1,19.20,-7.00,0,bottom,19.20,-7.00
J3,47.40,0.00,0,bottom,47.88,0.00
J4,28.70,-5.80,0,bottom,28.70,-5.80
J5,19.20,7.00,0,bottom,19.20,7.00
J6,37.20,5.40,0,bottom,37.20,5.40
L1,49.40,0.00,0,top,49.40,0.00
Q1,36.00,-0.75,0,bottom,36.00,-0.75
Q2,43.50,4.50,0,bottom,43.50,4.50
Q3,36.25,7.25,0,top,36.25,7.25
R1,43.50,-2.00,0,bottom,43.50,-2.00
R2,30.50,4.00,0,bottom,30.50,4.00
R3,20.00,0.70,90,bottom,20.00,0.70
R4,34.25,9.50,0,bottom,34.25,9.50
R5,21.75,1.00,0,bottom,21.75,1.00
R6,23.60,0.30,90,bottom,23.60,0.30
R7,18.25,1.00,0,bottom,18.25,1.00
R8,20.00,-1.00,0,bottom,20.00,-1.00
R9,34.75,-5.00,0,bottom,34.75,-5.00
R10,34.75,-6.25,0,bottom,34.75,-6.25
R11,17.75,-0.25,0,bottom,17.75,-0.25
SW1,41.70,-5.20,0,bottom,41.70,-5.40
SW2,28.70,7.80,0,bottom,28.70,7.80
U1,24.49,0.25,0,top,15.57,11.18
U2,40.38,0.00,0,bottom,40.38,0.00
U3,41.99,0.00,90,top,41.99,0.00
U4,26.94,2.25,0,bottom,26.94,2.25
