Comment,Designator,Footprint,LCSC Part #
10u,"C1,C2,C6",C_0603_1608Metric,C19702
100n,"C3,C4,C5",C_0402_1005Metric,C1525
1N4148W,D1,D_SOD-123,C81598
LiPo JST PH,"J1,J4,J5",JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,C160402
u.FL GNSS antenna,J3,U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88374
OLED 0.42in I2C,J6,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
47nH,L1,L_0402_1005Metric,C22334
AO3401A,Q1,SOT-23,C15127
2N7002,Q2,SOT-23,C8545
AO3400A,Q3,SOT-23,C20917
1M,R1,R_0402_1005Metric,C26083
10k,R2,R_0402_1005Metric,C25744
1k,R3,R_0402_1005Metric,C11702
4.7k,"R4,R5",R_0402_1005Metric,C25900
100k,"R6,R7,R8,R9,R10,R11",R_0402_1005Metric,C25741
MSK-12C02,SW1,MSK-12C02,C431540
TS-1187A,SW2,SW_SPST_TL3342,C318884
LSM6DS3TR-C,U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C967633
ATGM336H-5N31,U3,ATGM336H-5N31,C90770
MAX98357A,U4,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,C910544
