Designator,MPN,Qty,Link
"C1,C2,C6",CL10A106KP8NNNC,3,https://www.lcsc.com/product-detail/C19702.html
"C3,C4,C5",CL05B104KO5NNNC,3,https://www.lcsc.com/product-detail/C1525.html
D1,1N4148W,1,https://www.lcsc.com/product-detail/C81598.html
"J1,J4,J5",SM02B-SRSS-TB(LF)(SN),3,https://www.lcsc.com/product-detail/C160402.html
J3,U.FL-R-SMT-1(80),1,https://www.lcsc.com/product-detail/C88374.html
J6,SM04B-SRSS-TB(LF)(SN),1,https://www.lcsc.com/product-detail/C160404.html
L1,LQW15AN47NG00D,1,https://www.lcsc.com/product-detail/C22334.html
Q1,AO3401A,1,https://www.lcsc.com/product-detail/C15127.html
Q2,2N7002,1,https://www.lcsc.com/product-detail/C8545.html
Q3,AO3400A,1,https://www.lcsc.com/product-detail/C20917.html
R1,0402WGF1004TCE,1,https://www.lcsc.com/product-detail/C26083.html
R2,0402WGF1002TCE,1,https://www.lcsc.com/product-detail/C25744.html
R3,0402WGF1001TCE,1,https://www.lcsc.com/product-detail/C11702.html
"R4,R5",0402WGF4701TCE,2,https://www.lcsc.com/product-detail/C25900.html
"R6,R7,R8,R9,R10,R11",0402WGF1003TCE,6,https://www.lcsc.com/product-detail/C25741.html
SW1,MSK12C02,1,https://www.lcsc.com/product-detail/C431540.html
SW2,TS-1187A-B-A-B,1,https://www.lcsc.com/product-detail/C318884.html
U1,113991115,1,https://www.seeedstudio.com/XIAO-ESP32S3-Sense-p-5639.html
U2,LSM6DS3TR-C,1,https://www.lcsc.com/product-detail/C967633.html
U3,ATGM336H-5N31,1,https://www.lcsc.com/product-detail/C90770.html
U4,MAX98357AETE+T,1,https://www.lcsc.com/product-detail/C910544.html
