Designator,Mid X,Mid Y,Layer,Rotation
C1,35.2500mm,3.5000mm,Bottom,0.0
C2,34.7500mm,-5.2500mm,Bottom,0.0
C3,34.7500mm,7.0000mm,Bottom,0.0
C4,16.0000mm,-1.0000mm,Bottom,0.0
C5,37.5000mm,-5.0000mm,Bottom,0.0
C6,35.2500mm,5.5000mm,Bottom,0.0
D1,36.2725mm,-3.0000mm,Bottom,0.0
J1,19.2000mm,7.0000mm,Bottom,0.0
J3,47.8750mm,0.0000mm,Bottom,0.0
J4,28.7000mm,5.8000mm,Bottom,0.0
J5,19.2000mm,-7.0000mm,Bottom,0.0
L1,47.2000mm,3.6000mm,Bottom,0.0
Q1,36.0000mm,0.7500mm,Bottom,0.0
Q2,41.7500mm,-3.5000mm,Bottom,0.0
Q3,31.5000mm,-1.5000mm,Bottom,0.0
R1,43.5000mm,2.0000mm,Bottom,0.0
R10,21.7500mm,-0.2500mm,Bottom,0.0
R11,36.5000mm,-6.7500mm,Bottom,0.0
R2,30.5000mm,-4.0000mm,Bottom,0.0
R3,20.0000mm,-0.7000mm,Bottom,90.0
R4,34.2500mm,-6.7500mm,Bottom,0.0
R5,34.2500mm,-8.0000mm,Bottom,0.0
R6,23.6000mm,-0.3000mm,Bottom,90.0
R7,18.2500mm,-1.0000mm,Bottom,0.0
R8,20.0000mm,1.0000mm,Bottom,0.0
R9,34.2500mm,-9.2500mm,Bottom,0.0
SW1,41.7000mm,5.4035mm,Bottom,0.0
SW2,28.7000mm,-7.8000mm,Bottom,0.0
U2,40.3775mm,0.0000mm,Bottom,0.0
U4,26.9425mm,-2.2500mm,Bottom,0.0
