Designator,Mid X,Mid Y,Layer,Rotation
C1,30.0000mm,1.0000mm,Bottom,0.0
C2,31.0000mm,-1.0000mm,Bottom,0.0
C3,25.0000mm,1.5000mm,Bottom,0.0
C4,17.2500mm,-2.7500mm,Bottom,0.0
C5,24.5000mm,2.7500mm,Bottom,0.0
C6,31.0000mm,-3.0000mm,Bottom,0.0
D1,34.5225mm,8.7500mm,Bottom,0.0
J1,19.2000mm,7.0000mm,Bottom,0.0
J3,47.8750mm,0.0000mm,Bottom,0.0
J4,28.7000mm,5.8000mm,Bottom,0.0
J5,19.2000mm,-7.0000mm,Bottom,0.0
J6,37.2000mm,-5.4000mm,Bottom,0.0
L1,49.4000mm,0.0000mm,Top,0.0
Q1,35.2500mm,5.5000mm,Bottom,0.0
Q2,36.0000mm,0.7500mm,Bottom,0.0
Q3,17.2500mm,1.5000mm,Bottom,0.0
R1,43.5000mm,2.0000mm,Bottom,0.0
R10,32.7500mm,1.7500mm,Bottom,0.0
R11,21.7500mm,-11.2500mm,Bottom,0.0
R2,32.7500mm,0.5000mm,Bottom,0.0
R3,20.0000mm,-0.7000mm,Bottom,90.0
R4,34.2500mm,-9.5000mm,Bottom,0.0
R5,27.2500mm,0.7500mm,Bottom,0.0
R6,23.6000mm,-0.3000mm,Bottom,90.0
R7,19.5000mm,-2.7500mm,Bottom,0.0
R8,21.7500mm,-0.7500mm,Bottom,0.0
R9,23.0000mm,-2.7500mm,Bottom,0.0
SW1,41.7000mm,5.4035mm,Bottom,0.0
SW2,28.7000mm,-7.8000mm,Bottom,0.0
U2,40.3775mm,0.0000mm,Bottom,0.0
U3,41.9893mm,0.0000mm,Top,90.0
U4,26.9425mm,-2.2500mm,Bottom,0.0
